num_projects,num_voters,algorithm,seed,runtime,total_cost,num_selected,social_welfare,budget_limit
5,20,EES,1,0.0003,9,1,12,39
5,20,EES,2,0.0003,53,4,46,93
5,20,EES,3,0.0002,48,2,19,171
5,20,EES_AddOpt,1,0.0032,27,2,20,39
5,20,EES_AddOpt,2,0.0008,53,4,46,93
5,20,EES_AddOpt,3,0.0029,166,4,43,171
5,20,MES,1,0.0004,9,1,12,39
5,20,MES,2,0.0007,53,4,46,93
5,20,MES,3,0.0003,118,3,33,171
5,20,Greedy,1,0.0001,27,2,20,39
5,20,Greedy,2,0.0001,88,4,48,93
5,20,Greedy,3,0.0001,166,4,43,171
5,50,EES,1,0.0004,9,1,26,39
5,50,EES,2,0.0005,53,4,100,93
5,50,EES,3,0.0008,48,2,48,171
5,50,EES_AddOpt,1,0.0183,27,2,47,39
5,50,EES_AddOpt,2,0.0036,53,4,100,93
5,50,EES_AddOpt,3,0.0088,166,4,108,171
5,50,MES,1,0.0004,9,1,26,39
5,50,MES,2,0.0008,53,4,100,93
5,50,MES,3,0.0008,118,3,80,171
5,50,Greedy,1,0.0002,27,2,47,39
5,50,Greedy,2,0.0004,92,4,109,93
5,50,Greedy,3,0.0002,166,4,108,171
10,20,EES,1,0.0007,259,7,72,397
10,20,EES,2,0.0007,53,4,41,116
10,20,EES,3,0.0003,9,1,11,22
10,20,EES_AddOpt,1,0.006,332,8,83,397
10,20,EES_AddOpt,2,0.0174,93,5,55,116
10,20,EES_AddOpt,3,0.0129,9,1,11,22
10,20,MES,1,0.0009,332,8,83,397
10,20,MES,2,0.0008,93,5,55,116
10,20,MES,3,0.0004,9,1,11,22
10,20,Greedy,1,0.0004,332,8,83,397
10,20,Greedy,2,0.0002,115,5,58,116
10,20,Greedy,3,0.0002,9,1,11,22
10,50,EES,1,0.0015,259,7,175,397
10,50,EES,2,0.0017,53,4,95,116
10,50,EES,3,0.0007,9,1,23,22
10,50,EES_AddOpt,1,0.0462,332,8,201,397
10,50,EES_AddOpt,2,0.0571,86,5,121,116
10,50,EES_AddOpt,3,0.0799,9,1,23,22
10,50,MES,1,0.0018,293,7,175,397
10,50,MES,2,0.0012,93,5,125,116
10,50,MES,3,0.0006,9,1,23,22
10,50,Greedy,1,0.0004,396,7,183,397
10,50,Greedy,2,0.0004,115,5,131,116
10,50,Greedy,3,0.0004,9,1,23,22
15,20,EES,1,0.0006,13,1,13,38
15,20,EES,2,0.0015,91,6,63,167
15,20,EES,3,0.0011,93,5,52,241
15,20,EES_AddOpt,1,0.0737,22,2,22,38
15,20,EES_AddOpt,2,0.0668,159,8,82,167
15,20,EES_AddOpt,3,0.0691,217,7,79,241
15,20,MES,1,0.0008,22,2,22,38
15,20,MES,2,0.0008,135,5,60,167
15,20,MES,3,0.0011,205,6,69,241
15,20,Greedy,1,0.0003,31,2,24,38
15,20,Greedy,2,0.0003,167,5,63,167
15,20,Greedy,3,0.0005,222,6,71,241
15,50,EES,1,0.0011,13,1,35,38
15,50,EES,2,0.0028,86,6,158,167
15,50,EES,3,0.0036,141,6,156,241
15,50,EES_AddOpt,1,0.4087,38,3,80,38
15,50,EES_AddOpt,2,0.2753,159,8,201,167
15,50,EES_AddOpt,3,0.2791,216,7,187,241
15,50,MES,1,0.0011,22,2,58,38
15,50,MES,2,0.0025,105,6,164,167
15,50,MES,3,0.002,185,6,164,241
15,50,Greedy,1,0.0007,38,3,80,38
15,50,Greedy,2,0.0011,146,6,166,167
15,50,Greedy,3,0.0011,227,6,169,241
20,20,EES,1,0.0007,0,0,0,8
20,20,EES,2,0.0027,658,16,166,885
20,20,EES,3,0.0028,772,16,178,977
20,20,EES_AddOpt,1,0.1912,4,1,9,8
20,20,EES_AddOpt,2,0.0697,828,18,185,885
